# requirements-trace.csv — BRD section -> sub-project mapping (Phase 18 seed)
# Simplified columns: title_ar and dod_anchor omitted in this seed; refined per sub-project cycle.
brd_ref,title_en,subproject_id,subproject_name,status
§4.1.1,Public landing and informational content,4,External API,pending
§4.1.1,Public landing and informational content,6,External Web Portal,pending
§4.1.2,Public content browsing and search,4,External API,pending
§4.1.2,Public content browsing and search,6,External Web Portal,pending
§4.1.3,Bilingual content (Arabic / English),4,External API,pending
§4.1.3,Bilingual content (Arabic / English),6,External Web Portal,pending
§4.1.4,Knowledge Maps,7,Feature Modules,pending
§4.1.5,Interactive City,7,Feature Modules,pending
§4.1.6,Public events and calendar,4,External API,pending
§4.1.6,Public events and calendar,6,External Web Portal,pending
§4.1.7,Public registration and profile,4,External API,pending
§4.1.7,Public registration and profile,6,External Web Portal,pending
§4.1.8,Public news and announcements,4,External API,pending
§4.1.8,Public news and announcements,6,External Web Portal,pending
§4.1.9,Resource library access,4,External API,pending
§4.1.9,Resource library access,6,External Web Portal,pending
§4.1.10,Public reports and data downloads,4,External API,pending
§4.1.10,Public reports and data downloads,6,External Web Portal,pending
§4.1.11,Smart Assistant,7,Feature Modules,pending
§4.1.12,Community discussion / posts,7,Feature Modules,pending
§4.1.13,Community moderation surfaces,7,Feature Modules,pending
§4.1.14,Public notifications,4,External API,pending
§4.1.14,Public notifications,6,External Web Portal,pending
§4.1.15,Public feedback and contact,4,External API,pending
§4.1.15,Public feedback and contact,6,External Web Portal,pending
§4.1.16,Public surveys / polls,4,External API,pending
§4.1.16,Public surveys / polls,6,External Web Portal,pending
§4.1.17,Public newsletter subscription,4,External API,pending
§4.1.17,Public newsletter subscription,6,External Web Portal,pending
§4.1.18,Public service catalogue,4,External API,pending
§4.1.18,Public service catalogue,6,External Web Portal,pending
§4.1.19,Admin user management,3,Internal API,pending
§4.1.19,Admin user management,5,Admin / CMS Portal,pending
§4.1.20,Admin role and permission management,3,Internal API,pending
§4.1.20,Admin role and permission management,5,Admin / CMS Portal,pending
§4.1.21,Admin content management (CMS),3,Internal API,pending
§4.1.21,Admin content management (CMS),5,Admin / CMS Portal,pending
§4.1.22,Admin taxonomy management,3,Internal API,pending
§4.1.22,Admin taxonomy management,5,Admin / CMS Portal,pending
§4.1.23,Admin media library,3,Internal API,pending
§4.1.23,Admin media library,5,Admin / CMS Portal,pending
§4.1.24,Admin translations management,3,Internal API,pending
§4.1.24,Admin translations management,5,Admin / CMS Portal,pending
§4.1.25,Admin community moderation,3,Internal API,pending
§4.1.25,Admin community moderation,5,Admin / CMS Portal,pending
§4.1.26,Admin events management,3,Internal API,pending
§4.1.26,Admin events management,5,Admin / CMS Portal,pending
§4.1.27,Admin notifications and alerts,3,Internal API,pending
§4.1.27,Admin notifications and alerts,5,Admin / CMS Portal,pending
§4.1.28,Admin settings and configuration,3,Internal API,pending
§4.1.28,Admin settings and configuration,5,Admin / CMS Portal,pending
§4.1.29,Admin audit log query,3,Internal API,pending
§4.1.29,Admin audit log query,5,Admin / CMS Portal,pending
